epoch,lr,train_loss,train_ce_loss,train_dice_score,train_dice_loss,train_iou_score,train_iou_loss
0,0.01,0.5182097546756268,0.35203727781772615,0.9741585984826088,0.02584139269310981,0.11990024495171384,0.8800997550482862
1,0.01,0.46953427568078043,0.1960192086175084,0.9862175866961479,0.013782429113052785,0.14760858695954085,0.8523914130404592
2,0.01,0.4575809635221958,0.1650186849758029,0.9863518387079239,0.013648174935951829,0.15903445780277253,0.8409655421972275
3,0.01,0.445405013859272,0.16757054682821035,0.9897719651460648,0.010228030639700592,0.18235501013696193,0.817644989863038
4,0.01,0.4519284129142761,0.15998585149645805,0.9916413873434067,0.008358611608855426,0.16515268571674824,0.8348473142832518
5,0.01,0.4390408009290695,0.15480586923658848,0.992170661687851,0.00782934898743406,0.18853835985064507,0.811461640149355
6,0.01,0.46727741733193395,0.24045992642641068,0.9918560519814491,0.00814395839406643,0.16651550587266684,0.8334844941273332
7,0.01,0.4434903211891651,0.15751243401318787,0.989366064965725,0.010633934615179896,0.18240469712764024,0.8175953028723597
8,0.01,0.4308811195194721,0.14068728480488063,0.9917650938034057,0.00823491143528372,0.1994536232203245,0.8005463767796754
9,0.01,0.4440872691571712,0.16050813104957343,0.993412421643734,0.006587593047879636,0.17998126670718192,0.820018733292818
